Restaurant Name,Category,Rating,Cost for two,Area,Locality,Address,Veg,Long Distance Delivery
Biryani By Kilo,"Biryani,Mughlai,Kebabs,Hyderabadi,North Indian,Lucknowi,Desserts,Beverages",4.1,600,Khare Town,Dharampeth,"Commercial First Floor, F1 & F2 INDU YASH II, 186, Dharampeth Extn, Ramnagar Square, Nagpur",False,0
Haldirams Sweets & Namkeen,"Sweets,Bakery,Beverages",4.6,300,Sitabuldi,SITABULDI,"ABHYANKAR ROAD, SITABULDI,NAGPUR",False,0
Pind Punjabi,"North Indian,Chinese",3.3,200,Loha Pul,"Loha Pul, Pind","Shree Ganesh Bhojnalay, Manas Chowk, Sahu Colony, Sitabuldi, Nagpur, Maharashtra",True,0
Behrouz Biryani,"Biryani,Mughlai,Lucknowi,Hyderabadi,Kebabs,North Indian,Persian,Desserts",3.9,500,Sadar,"Azad Chowk, Near Gandhi Chowk","Faasos, Plot No. 227 1, Azad Chowk, Near Gandhi Chowk, Opp Kachara Ghar, Sadar, Nagpur, 440001",False,0
Jay Ambika Bhojnalay,"North Indian,Indian",4.0,300,Ganeshpeth Colony,Gandhibagh,Shop no13 opp. Rahul hotel Ganeshpeth bus stand,True,0
Foody Moody Thali,"Indian,Thalis,Chinese,Biryani,North Indian,Punjabi,Desserts",3.4,200,Loha Pul,"Loha Pul, Foody","Shree Ganesh Bhojnalay, Manas Chowk, Sahu Colony, Sitabuldi, Nagpur, Maharashtra",False,0
Subway,"Healthy Food,Salads,Snacks,Desserts,Beverages",4.1,350,Khare Town,Dharampeth,"G2, Indu Yash Complex, Cement Road, Ramnagar, Near, Dharampeth, Nagpur",False,0
KFC,"American,Snacks,Biryani",3.9,400,Sitabuldi,"Ground Floor, Eternity Mall, Variety Square","G1, G2, Ground Floor, Eternity Mall, Variety Square, Sitaburdi, Nagpur, Maharashtra 440010",False,0
McDonald's,"Burgers,Beverages,Cafe,Desserts",4.1,400,Medical Square,Trillum Mall,"Restaurant no 3, 3rd Floor, Trillum mall, Ram Bag Layout, Untkhana Road, Nagpur, 440003",False,0
Babbu Hotel,"Biryani,Mughlai,North Indian,Beverages",3.7,300,Mominpura,Gandhibagh,"Near Bakra Mandi, Mominpura Chowk, Mominpura, Nagpur",False,0
Biryani Story,"Biryani,Indian,North Indian,Mughlai,Punjabi",2.8,200,Loha Pul,"Loha Pul, Biryani Story","Shree Ganesh Bhojnalay, Manas Chowk, Sahu Colony, Sitabuldi, Nagpur, Maharashtra",False,0
Mullaji Zillah Biryani Center,Biryani,4.1,250,Sadar,Sadar,"SHOP NO 52 MINI MANGALWARI BAJAR COMPLEX SADAR , District - Nagpur-1, STATE - Maharashtra - 440001",False,0
Burger Singh (Big Punjabi Burgers),"Fast Food,Snacks,Beverages,Indian,American,Desserts,Combo",4.0,300,Laxminagar,Shradhanand Peth,"Plot no 122, Ambazari Road, Shradhanand peth, Opposite to Tanishq Jewellery Showroom, Nagpur-440010",False,0
The Smoked Biryani,"Indian,Thalis,Chinese,Biryani,North Indian,Punjabi,Desserts,Combo",3.0,200,Loha Pul,"Loha Pul, Smoked","Shree Ganesh Bhojnalay, Manas Chowk, Sahu Colony, Sitabuldi, Nagpur, Maharashtra",False,0
Moti Mahal Delux,"North Indian,Mughlai,Biryani,Tandoor,Kebabs",4.1,350,Sitabuldi,Cotton Market,"COTTON MARKET CHOWK, NAGPUR, - 440012",False,0
Al Zam Zam,"Biryani,Indian,North Indian,Chinese,Mughlai,Tandoor",3.8,300,Vivekanand Nagar,Vivekanand Nagar,"Shop No. G3, Laxmidas Appt., Besides Sai Mandir, Wardha Rd, Nagpur, Maharashtra 440015",False,0
Shree Ganesh Bhojnalaya,"Indian,Chinese",2.5,200,Loha Pul,"Loha Pul, Ganesh","Shree Ganesh Bhojnalay, Manas Chowk, Sahu Colony, Sitabuldi, Nagpur, Maharashtra",False,0
Taste of Biryani,North Indian,2.7,200,Loha Pul,"Loha Pul, Biryani","Shree Ganesh Bhojnalay, Manas Chowk, Sahu Colony, Sitabuldi, Nagpur, Maharashtra",False,0
Krishnum Restaurant,"South Indian,Indian,Chinese,Fast Food,Beverages",3.9,200,Mominpura,CA road,"CA ROAD, CENTRAL AVENUE , GANDHIBAGH",False,0
Barbeque Nation,"North Indian,Barbecue,Biryani,Kebabs,Mughlai,Desserts",3.9,600,Sitabuldi,"Amravati Rd, Eternity Mall","2nd Floor Eternity Mall, Amravati Rd, Variety Square, Sitabuldi, Nagpur, Maharashtra 440012",False,0
Calcutta Roll Center,"Chinese,Fast Food,North Indian,Indian,Snacks,Tandoor,Bengali,Street Food",3.8,250,Chhaoni,Sadar,"Achraj Tower, Katol Road, Sadar, Nagpur",False,0
NAMRATA'S KITCHEN,North Indian,NA,300,Sitabuldi,Nandanvan,"Baba Farid nagar, koradi road, near buddha vihar.",False,0
UBQ by Barbeque Nation,"North Indian,Barbecue,Biryani,Kebabs,Mughlai,Desserts",3.9,300,Sitabuldi,NAGPUR,"Unit - K1 to FC- 6, 2nd floor, eternity mall, verity chowk, nagpur-440024",False,0
Sangam Restaurant,"North Indian,South Indian,Pizzas,Biryani,Street Food,Chinese,Desserts,Sweets",4.2,400,Medical Square,medical square,"Medical Square, Near IO Petrol Pump.",False,0
Taste Of Indore,"Street Food,North Indian,Snacks",4.0,70,Sitabuldi,Sitabuldi,"Mahajan Market Road, Sitabuldi, Nagpur",True,0
Corridor Seven Coffee Roasters,"Continental,Salads,Healthy Food,Desserts,Beverages",4.5,500,Sitabuldi,Sitabuldi,"86, Mahajan Market, Behind Ketkar Hospital, Sitabuldi, Nagpur 440012, District - Nagpur-1, STATE - Maharashtra -  440012",False,0
Babbu's Food Plaza,"North Indian,Biryani,Tandoor,Indian,Mughlai",3.7,250,Civil Lines,Sadar,"VCA stadium, civil lines",False,0
Pizza Hut,"Pizzas,Fast Food",3.2,300,Sitabuldi,"1st Flr, Eternity Mall, Variety Square","SN F1 & F2, 1st Flr, Eternity Mall, Variety Square, Sitabuldi, Nagpur, Maharashtra 440012",False,0
Gulshan Plaza,"North Indian,Mughlai,Maharashtrian,Biryani,Desserts,Beverages",3.5,400,"Sitabuldi, Nagpur",Sitabuldi,in front of zero miles metro station near sitabuldi,False,0
Rolls Mania,Fast Food,4.0,200,Pratap Nagar,"Shewalkar Garden, Gopal Nagar","Shop 32, Upper Ground Floor, Shewalkar Gardens, Opposite Reliance Fresh, Gopal Nagar, Pratap Nagar, Nagpur",False,0
Shankar Bhojnalaya (Pure Veg),"Indian,Thalis,Chinese,Biryani,North Indian,Punjabi,Desserts",3.3,200,Lokmat Chowk,"Lokmat Chowk, Shankar","Lokmat Square, Dhantoli, Nagpur, Maharashtra 440012, India",True,0
Haldiram's Thaat Baat Restaurant,"North Indian,Biryani,Thalis,Snacks,South Indian,Chinese,Pizzas,Beverages",4.0,300,Sitabuldi,Sitabuldi,"Abhyankar Road, Sitabuldi, Nagpur",True,0
GULAB  BHOJNALAYA,North Indian,NA,400,Sitabuldi,Sitabuldi,"REFUGEE SHOP NO3 NEAR ANAND  TALKIES, Zone no.2 -Dharampeth, Nagpur  (Urban), Nagpur, Maharashtra - 440012",False,0
gulab restaurant,North Indian,NA,400,Sitabuldi,Sitabuldi,"REFUGEE SHOP NO3 NEAR ANAND  TALKIES, Zone no.2 -Dharampeth, Nagpur  (Urban), Nagpur, Maharashtra - 440012",False,0
Saoji Jagdish Bhojnalaya,"Maharashtrian,North Indian,Biryani,Desserts",3.3,400,Gandhibagh,Gandhibagh,"Subhash Road, Ganesh Peth, Gandhibagh, Nagpur",False,0
 Royal Chinese and fastfoods,Chinese,NA,200,Nandanvan,Nandanvan,"back side, railway station, near nagpur, Scooter Parking, Near Cotton Market Road, Mominpura, Nagpur, Maharashtra 440018",False,0
Anand Bakery,"Bakery,Desserts",4.3,200,Sitabuldi,Sitabuldi,"Main Road, Sitabuldi, Nagpur,Sitabuldi,Nagpur",False,0
Haldiram's Planet Food,"North Indian,Biryani,Thalis,Snacks,South Indian,Chinese,Pizzas,Beverages",4.3,300,Sitabuldi,Munje Chowk,"Abhyankar Marg, Munje Chowk, Sitabuldi, Nagpur, Maharashtra 440012",True,0
SAI CHINESE CENTER,"Chinese,Beverages",4.0,150,Nandanvan,Nandanvan,"IMAMWADA, LONGMARCH CHOWK, GHAT ROAD, NAGPUR 440003",True,0
Shree Ganesh Sagar,"North Indian,South Indian,Thalis,Chinese,Beverages",3.9,600,Dhantoli,Dhantoli,"B 2/5 Saraf Court, Opposite Yashwant Stadium, Dhantoli, Nagpur",True,0
Hotel President's Khana Khazana,"Indian,Chinese",NA,400,Sitabuldi,Sitabuldi,"Modi No. 3, Sitabuldi, Nagpur, Maharashtra",True,0
Hungry Hippy,"Chinese,Fast Food,Snacks",NA,200,Sitabuldi,Sitabuldi,"41, Rahul bazar, Sitabuldi, Nagpur, Maharashtra 440012, India",False,0
Side Walk - Hotel Hardeo,"North Indian,Fast Food",NA,500,Sitabuldi,Sitabuldi,"Dr. Munje Marg, Sitaburdi, Nagpur, Nagpur urban, Nagpur-1, Maharashtra-440012",False,0
Kalpataru - Hotel Hardeo,"North Indian,Fast Food",NA,500,Sitabuldi,Sitabuldi,"Dr. Munje Marg, Sitaburdi, Nagpur, Nagpur urban, Nagpur-1, Maharashtra-440012",False,0
Raj Sweets,Sweets,NA,300,Cotton Market,Gandhibagh,"Raj Sweets, Bajeria, Nagpur, Maharashtra, India",True,0
Pizza Ever,"Pizzas,Beverages",3.1,300,Mahal,Mahal,"Mahal,gujarwada,beside matru seva Sangh, near navyug Vidyalaya,Arnolds gym,near ganesh Mandir",True,0
MUMKINS XPRESS,"North Indian,Chinese,South Indian,Oriental",NA,300,Ganeshpeth Colony,"Cotton Market Road, Near City Bus Stand","20, New Cotton Market Rd, Ganeshpeth Colony, Nagpur, Maharashtra 440018",True,0
Singh's - Dhantoli,"Indian,Chinese,Mughlai,Biryani",4.1,500,Dhantoli,Dhantoli,"Shop 6 & 7, Yashwant Stadium, Near Patwardhan Ground, Dhantoli, Nagpur",False,0
OM PURE VEG RESTAURANT,"North Indian,Indian",NA,200,Panchasheel Chowk,Pratap Nagar,OPPOSITE PANCHSHEEL THEATER RAMDASPETH NAGPUR NAGPUR URBAN NAGPUR 1 MAHARASHTRA,True,0
SHREE KI RASOI,"Thalis,Combo",NA,200,Sadar,Sadar,"NPK SALVE MARG NRAR DRM OFFICE MOHAN NAGAR, NAGPUR, -440001",True,0
Novelty Pure Veg Restaurant,"North Indian,Thalis,Beverages",3.9,300,Cotton Market,Gandhibagh,"Opposite Chandralok Building, C.A Road, Gandhibagh, Nagpur",True,0
New Amar Prem,Fast Food,NA,300,Sitabuldi,Sitabuldi,"Vadra Road, Sitabuldi, Nagpur",True,0
Krishnum Food Plaza,"South Indian,Biryani,Pizzas,Thalis,North Indian,Indian,American",3.8,200,Sadar,Sadar,"Mount Road, Sadar, Nagpur",False,0
Miki Momos,"Chinese,Afghani,Tandoor,Fast Food",4.0,300,Sitabuldi,Sitabuldi,"26, Central Park Rd, Godhni, Dhantoli, Nagpur, Maharashtra 440012, India",False,0
THE OPERA HOUSE,"Chinese,Italian,Thai,French",NA,1000,Sitabuldi,Sitabuldi,OLD REGENT TALKIES VARIETY SQUARE WARDHA ROAD SITABULDI NAGPUR NAGPUR URBAN NAGPUR 1 MAHARASHTRA,False,0
BROWNY TESTA,"Desserts,Beverages",NA,300,Sitabuldi,Sitabuldi,"GROUND FLOOR, BESIDE KFC  RESTAURANT, ETERNITY MALL, SITABULDI,  Zone no.4 -Dhantoli, Nagpur urban,  Nagpur-1, Maharashtra - 440012",True,0
Vina Vihar,Fast Food,4.1,300,Dhantoli,Sitabuldi,Vina vihar Shankar bhawan mehadiya Chowk Dhantoli  nagpur,True,0
PVR,"Snacks,Fast Food,Beverages",NA,400,Gandhibagh,PVR Empress Nagpur,"PVR Ltd. 3rd Floor, Empress City Mall, Near Gandhi Sagar Lane, Nagpur -440018.",False,0
Goli Vada Pav No.1,"Snacks,Maharashtrian,Fast Food,Beverages",NA,200,Dhantoli,RAMDASPETH,"Ground floor, plot No- 10/1, shop No- 1B, house No- 5B/1, SK society, neharu marg, Dhantoli, Nagpur 440012",False,0
D9 Restaurant,"North Indian,Chinese",NA,300,Civil Lines,Sitabuldi,Oppsite Eternity MAll,False,0
BALAJI BHOJNALAYA,North Indian,NA,200,Gandhibagh,Gandhibagh,SHOP NO 15 RAHUL COMPLEX  BHAVAN ST BUS STAND GANESHPETH NAGPUR ZONE NO 5 HANUMANNAGAR  NAGPUR URBAN 1,False,0
Checkers,"Chinese,North Indian,Indian,Tandoor,Continental,Beverages,Pizzas,Desserts",4.3,300,Sadar,Sadar,"Shop No.13-17 SJTI Complex, Residency Rd, Sadar, Nagpur, Maharashtra 440001, India",False,0
The Liar's Cafe,"Pizzas,Italian,Snacks,Beverages",NA,300,Sitabuldi,Sitabuldi,"Orange City Tower, Central Park Rd, Godhni, Dhantoli, Nagpur, Maharashtra 440012, India",False,0
Paratha Shop,"North Indian,Indian,Snacks,Beverages,Punjabi,Sweets,Desserts",4.2,250,Sadar,Sadar,"Guman Building, Residency Road, Sadar, Nagpur",True,0
NS FAST FOOD & DAILY NEEDS,Fast Food,NA,300,Gandhibagh,Nandanvan,542 SANTRA MARKET ROAD MAHATMA FULE BAZAR NAGPUR-440018,True,0
Fou Shacks Cake Boutique,Bakery,NA,300,Sitabuldi,Sitabuldi,"SHOP NO. 8, NIYOGI BHAWAN, ABHYANKAR MARG, MEHADIA SQUARE, DHANTOLI, Nagpur urban, Nagpur-1 (Maharashtra), - 440012",False,0
FSB,"Indian,Continental,Italian,Chinese,Asian,North Indian,Desserts",4.1,500,Dhantoli,Dhantoli,"B/9, Orange City Towers, Opposite Tilak Patrakar Bhavan, Dhantoli, Nagpur",False,0
RasKunj,"Desserts,Beverages,Juices",4.3,250,Ramdaspeth,Ramdaspeth,"Panchsheel Building, Ramdaspeth, Nagpur",True,0
Kwality Walls Frozen Dessert and Ice Cream Shop,"Desserts,Ice Cream",4.7,300,Ganeshpeth Colony,Gandhibagh,"FLAVOURS: HOUSE NO 741/A, NEAR DR.AKARE, MODEL MILL GATE, GANESHPETH, NAGPUR, MAHARASHTRA-440018",False,0
Mom's Maggy mania,Snacks,4.0,180,Sitabuldi,Sitabuldi,"527, Sitabuldi, Nagpur, Maharashtra 440012, India",False,0
MoMo's Hub,"Chinese,Snacks",NA,200,Nandanvan,Nandanvan,"535  Gadikhana Ganeshpeth Colony, Nagpur, Maharashtra 440018, India",False,0
Shabana Bakery,"Bakery,Desserts,Pizzas,Pastas,Chinese,Snacks,Fast Food",4.0,250,Byramji Town,Byramji Town,"36, Koradi Rd, Byramji Town, Nagpur",False,0
TDS Restro Lounge,"Indian,Oriental,Chinese,Continental,Seafood,Beverages",3.7,1200,Sitabuldi,Sitabuldi,"12, Farmland, Milestone Building, 5th floor, Shop No. 16, Ramdaspeth, Wardha Road, Nagpur, District - Nagpur-1, STATE - Maharashtra",False,0
Fuel Station Cafe & Restro,"Fast Food,Beverages",3.9,250,Ramdaspeth,Shankar Nagar Square,"Kamlakar Palace, Opposite NIT Garden, Shankar Nagar Square, Nagpur",False,0
SardaarJi,"North Indian,Fast Food,Mughlai,Biryani,Desserts,Punjabi,Beverages",4.1,300,Sitabuldi,Sitabuldi,"Shop no. 14-19, Pushpakunj Commercial Complex, Near Center Point Hotel, Central Bazar Road, Ramdaspeth, Nagpur 440010",False,0
Dinshaw's Icecream - Tatabaugh,"Ice Cream,Desserts,Beverages",4.4,300,Gandhibagh,"Gandhibagh, Tatabagh","HOUSE NO. 6/A, NEAR TATA PARSI HIGH SCHOOL, OPP. SHUKRAWARI TALAV, NAGPUR",True,0
Tapri Chaha Katta,"Beverages,Snacks,Juices",NA,200,Sitabuldi,Sitabuldi,"""7, Meh-Adia, Choti Chantoli (Dhantoli), Nagpur 440025 Dhantoli Nagpur",False,0
Babbu's Arabian,"Biryani,Mughlai,North Indian",NA,300,Cotton Market,Dharampeth,"central avenue road, dosar bhawan, behind traffic police chowky, bajaria",False,0
Pizzaland,Pizzas,4.0,300,Sitabuldi,Sitabuldi,"Amarjyoti Complex, Chitale Marg, Lokmat Square, Ramdaspeth, Nagpur, Maharashtra 440012, India",True,0
New Sizzling Snacks & Bakery,"Bakery,Snacks",NA,150,Gandhibagh,motibagh,"Shop no 199 Rai Ashiyana Appt,Moti Bagh Jagrut Nagar,440018",False,0
Varhadi That,"Maharashtrian,Indian,Desserts,Tandoor,Biryani",4.4,250,Dhantoli,Dhantoli,"Ganesh Chamber, Dhantoli",False,0
Veeraswami,"South Indian,Snacks,Beverages",4.3,300,Sadar,Sadar,"LIC Building, Link Road, Mount Road Extension, S.Bazar, Sadar, Nagpur",True,0
The Biryani Secrets - TBS,"Indian,Biryani",NA,350,Medical Square,Medical Square,"B004, Godrej Anandam, Model Mill Compound, Ganeshpeth, Nagpur, Maharashtra-440018",True,0
Hotel Tanveer,"North Indian,Mughlai,Biryani",3.3,300,Nandanvan,Nandanvan,"Masjid Ahlehadis Block Mohd Ali Road, Mominpura, Nagpur Urban- 440018",False,0
Fuel Station,Beverages,4.0,200,Ganeshpeth Colony,Futala,"Banode Enclave, New Shukrawari, Near Ashok Square, Above Fitness Courtyard Gym, Cement Road, Nagpur - 440018",True,0
Sindh Punjab Tadka,"North Indian,Mughlai,Indian,Punjabi,Biryani,Chinese,Desserts",3.6,200,Ramdaspeth,"Ramdaspeth, Sindh Punjab","Opposite Hotel Center Point, Ramdaspeth, Nagpur",False,0
THE DOWN TOWN CAFE AND RESTRO,"Fast Food,Burgers,Beverages",NA,250,Sitabuldi,Sitabuldi,"F NO BS 1 POOJA PALACE APARTMENT, DHANTOLI, NAGPUR, ZONE NO 4, DHANTOLI, NAGPUR (URBAN), NAGPUR, MAHARASHTRA- 440012",True,0
Moti Mahal Restaurant,"Indian,Chinese,Mughlai,Desserts",4.2,800,Sadar,Sadar,"Residency Road, Sadar, Nagpur",False,0
Amaira,"North Indian,Chinese,Desserts,Beverages,Italian,South Indian",4.3,400,Civil Lines,Civil Lines,"1st floor, above Axis bank, M.G.HOUSE, R.T.road, Civil lines, Nagpur",True,0
Oishi,"Asian,Chinese,Japanese",4.4,300,Gandhibagh,Nandanvan,"Hotel Woodlands, Beside HDFC Bank, Opp. Gitanjali Cinema, Central Avenue",False,0
Tauby's,"Bakery,Desserts,Snacks,Fast Food,Italian,Pizzas,American",3.9,250,Civil Lines,Sadar,"Behind Poonam Plaza, Civil Lines, Palm Road, Sadar, Nagpur",False,0
Hotel Bartania,"Biryani,Indian,North Indian,Chinese,Mughlai,Tandoor,Kebabs,Seafood",3.4,250,Mominpura,mominpura,Mohammad ali road mominpura,False,0
Hotel Brijinn,"North Indian,Beverages,Chinese,Fast Food,Snacks,Desserts",NA,300,Ganeshpeth,Nandanvan,"NEAR S.T. BUS STAND, KHURANA TRAVELS,  GANESHPETH, NAGPUR 440002",False,0
Biryani House (Pure Veg),"Indian,Mughlai,Chinese,Biryani,North Indian,Punjabi",2.9,200,Lokmat Chowk,"Lokmat Chowk, Biryani","Lokmat Square, Dhantoli, Nagpur, Maharashtra 440012, India",True,0
Saroj Bakery,"Bakery,Street Food,Combo",4.0,100,Nagpur,Sadar,"Opposite SFS School, Residency Road, Sadar, Nagpur",False,0
Dinshaw's Icecream - Tatabaugh,"Ice Cream,Desserts,Beverages",4.6,300,Gandhibagh,"Gandhibagh, Tatabagh","HOUSE NO. 6/A, NEAR TATA PARSI HIGH SCHOOL, OPP. SHUKRAWARI TALAV, NAGPUR",False,0
Nanking Chinese Restaurant,"Chinese,Asian,Seafood,Pan-Asian,Beverages,Thai,Korean,Singaporean",4.2,300,Civil Lines,civil lines,"167,R.T. Road, Civil Lines",False,0
Cake Links,Bakery,4.3,200,Sadar,Sadar,"Shop 13 - 15, VCA Stadium, Sadar, Nagpur",False,0
Liberty Family Restaurant,"North Indian,Chinese,Indian,Continental,Tandoor,Kebabs,Biryani,Italian,Mughlai",4.3,400,Sadar,Sadar,"Saraf Chamber Road, Sadar, Nagpur",False,0
Moksh - The Restro Lounge,"Italian,Continental,Thai,Chinese",3.4,400,Sitabuldi,Jhansi Rani Chowk,"Near Jhansi Rani Chowk, Nagpur",False,0
PARAG RESTAURANT,"North Indian,Indian,Mughlai,Chinese,Snacks",NA,300,Sitabuldi,Sitabuldi,NEAR PANCHSHEEL CINEMA SITABULDI NAGPUR NAGPUR URBAN NAGPUR 1 MAHARASHTRA,False,0
Burhanpur Jalebi,"Beverages,Fast Food",4.5,200,Mominpura,Nandanvan,"HOUSE NO.826, MOMENPURA, NAGPUR, MAHARASHTRA - 440018",True,0
Dahiya Momos (Ramdaspeth),Chinese,4.3,200,Ramdaspeth,Dharampeth,"280,	LENDRA	PARK RAMDASPETH-440010",False,0
SHREE SAOJI BHOJNALAYA,Chinese,NA,200,Sitabuldi,Sitabuldi,PANCHSEEL CHOWK NEAR PARAG BAR WARDHA ROAD NAGPUR URBAN 1,False,0
FOOD ON MOOD,"Chinese,Indian",NA,200,Sitabuldi,Sitabuldi,PANCHSEEL CHOWK NEAR PARAG BAR WARDHA ROAD NAGPUR URBAN 1,False,0
The Sandwich Box,Snacks,NA,200,Sitabuldi,Sitabuldi,"Amarjyoti Complex, Chitale Marg, Lokmat Square, Ramdaspeth, Nagpur, Maharashtra 440012, India",True,0
UDUPI GOKULA,"South Indian,Beverages",4.1,300,Sadar,Sadar,"3, Mount Rd, Opp. LIC Office, Mohan Nagar, Nagpur, Maharashtra 440001, India",True,0
THE SPICE FACTORY,"North Indian,Chinese,Beverages",NA,250,Gandhibagh,Gandhibagh,"HOTEL ATRANGI SAOJI, HOUSE NO 371 BESIDE B DOSAR BHAVAN CHOWK CENTRAL AVENUE ROAD NAGPUR URBAN NAGPUR 1 MAHARASHTRA -440018",False,0
Jubilee Bakery,"Burgers,Fast Food,Snacks,Desserts,Bakery",4.1,200,Byramji Town,Chaoni,"Shop 1, Dhadiwal Complex, Opposite MOIL Bhavan, Katol Road, Chhaoni, Nagpur",False,0
Shahi Biryani Darbar (Pure Veg),"Indian,Thalis,Chinese,Biryani,North Indian,Punjabi,Desserts",NA,200,Lokmat Chowk,"Lokmat Square, shahi","Lokmat Square, Dhantoli, Nagpur, Maharashtra 440012, India",True,0
Shree Ganesh Farsan,"Sweets,Snacks,Desserts,Beverages",4.4,100,Sadar,Gaddigodam,Gaddigodam sadar Nagpur,True,0
Roti Shoti (Pure Veg),"Indian,Thalis,Chinese,Biryani,North Indian,Punjabi,Desserts",NA,200,Lokmat Chowk,"Lokmat Square, Shoti","Lokmat Square, Dhantoli, Nagpur, Maharashtra 440012, India",True,0
Sanjha Chullah,"Indian,Chinese,North Indian,Tandoor,Kebabs,Mughlai,Desserts,Beverages",4.0,350,Sadar,Sadar,"opp Fidvi tower, near Saraf chambers, Mount Road, Sadar, Nagpur",False,0
Pav Bhaji Wala,"North Indian,Snacks,Biryani",NA,200,Ramdaspeth,"Ramdaspeth, Pav Bhaji","Plot no. 1151, Shop no.4250, Manoj Building, Ground Floor, Ramdaspeth, Nagpur",True,0
La Pino'Z Pizza,"Italian,Pizzas,Pastas,Desserts",3.7,300,Dharampeth,Dharampeth,"C/O ""YASHODA"", PLOT  NO. 20, SHOP NO. 5,  MATA MANDIR ROAD,  NEAR TRAFFIC PARK,  DHARAMPETH, NAGPUR- 440010., Nagpur urban,  Nagpur-1, Maharashtra- 440010",False,0
Centre Point Delivery,"North Indian,Chinese",4.1,1200,Ramdaspeth,Ramdaspeth,"Central Bazar Road, Hotel Centre Point, Ramdaspeth, Nagpur",False,0
Cafe Panda,"Pizzas,Beverages,Street Food,Snacks,Chinese,Italian",3.2,220,"Medical square, Ayodhya nagar","medical square, nagpur","plot no. 113, utkhana, near ambedkar school, nagpur",False,0
Ashoka Restaurant,"North Indian,Chinese,Continental,Indian,Mughlai,Desserts,Beverages",4.5,1100,Sadar,Sadar,"60, Sadar Bazar Main Road, Sadar, Nagpur",False,0
MAHALAXMI STREET HOUSE,"Pizzas,Fast Food,American",NA,200,Gandhibagh,Gandhibagh,HOUSE NO 617 WARD NO 34 GANDHI CHOWK GANJIPETH NAGPUR ZONE NO 6 GANDHIBAG NAGPUR URBAN NAGPUR MAHARASHTRA,True,0
Shanaya's Grill,"North Indian,Indian,Punjabi,Biryani,Chinese,Desserts",NA,200,Ramdaspeth,"Ramdaspeth, Shanaya","Opposite Centre Point Hotel, Ramdaspeth, Nagpur",False,0
Punjab Restaurant Kartar Singh Da Dhaba,North Indian,4.1,200,Sadar,Bajaj Nagar,"13, Gaddi Godam, Kamptee Road, Bajaj Nagar, Nagpur",False,0
Food Links,"Beverages,Snacks",3.9,250,Sadar,Sadar,"Shop 13-15, VCA Stadium, Sadar, Nagpur, Maharashtra",True,0
Navratna Raghav Restaurant,"North Indian,Gujarati,Indian,Desserts",4.1,350,Sadar,Sadar,"33, Salwe Square, Mount Road, Sadar, Nagpur",True,0
Taj Gulzar,"Indian,Chinese,Tandoor,North Indian",NA,399,Gandhibagh,Sadar,"BHAGWAGHAR CHOWK, HANSAPURI ROAD, NAGAR (Urban), Nagpur, Maharashtra-440018",False,0
Fitness Courtyard,"North Indian,Chinese,Desserts",4.4,250,Ganeshpeth Colony,Gandhibagh,"Banode Enclave, New Shukrawari, Near Ashok Square Bridge, Kashibai Temple, Gandhibagh, Nagpur",True,0
Vyanjanam,"North Indian,Chinese",3.8,150,Ramdaspeth,Ramdaspeth,"Nr.Centre Point, Ramdaspeth",True,0
Cake's Inn,Bakery,4.1,300,Sadar,Sadar,"Opposite Saraf Chambers, Mount Road, Sadar, Nagpur",True,0
Pratape Foods,North Indian,NA,500,Ramdaspeth,Jhansi Rani Chowk,"Nourth Ambazari Road, Near University library, Ramdaspeth, Nagpur, Maharashtra 440010",False,0
Biryani Villa,"North Indian,Indian,Mughlai,Chinese,Biryani",4.0,250,Sadar,"Sadar, Villa","Bullock Cart, HOUSE NO . 3425/A NEAR SMURTI TALKIES MOUNT ROAD SADAR NAGPUR, Nagpur urban, Nagpur-1 (Maharashtra), 440001",False,0
Vadilal Ice Cream,"Ice Cream,Desserts,Sweets",4.1,250,Medical Square,Nandanvan,"QTR.NO.14/5, V.H.B. COLONY, RAMBAG PLAY GAOUND NAGPUR 440003",True,0
Hyderabad Biryani.com,Biryani,NA,250,Sadar Civil Lines,Manish Nagar,"Shop No. 17, VCA Complex, Sadar Civil Lines, Nagpur Area: Sadar Civil Lines City: Nagpur",False,0
The Kathi Crossing,Indian,4.0,200,Civil Lines,Civil Lines,"heritage Hotel, Ravindranath Tagore Road, Civil Lines, Collector's Circle, Nagpur",False,0
The Belgian Waffle Co.,"Desserts,Beverages",4.1,200,Sadar,Sadar Bus Stop,"Residency Road, Near Gangaur, Adjacent to Diamond Salon, Opposite Governer's Bangalow Bus Stop, Sadar, Nagpur",True,0
Sardarji Da Chullah,"North Indian,Indian,Mughlai,Chinese,Biryani",3.8,250,Sadar,"Sadar, Sardarji",Bullockcart restaurant ashoka hotel chowk mount road sadar nagpur,False,0
Rajendra Chinese,Chinese,3.8,200,Bajaj Nagar,Bajaj Nagar,"Vaibhav Laxmi Lawn,  Near Baba Garage, Bajaj  Nagar Chowk, Nagpur  Urban-440010",False,0
Thali Wala (Pure Veg),"Thalis,North Indian,Indian,Hyderabadi,Biryani,Mughlai",2.6,200,Lokmat Chowk,"Lokmat Chowk, Thali","Lokmat Square, Dhantoli, Nagpur, Maharashtra 440012, India",True,0
Fuel Blend,"Beverages,Desserts",NA,200,Ramdaspeth,Ramdaspeth,"Chatori Street, Ramdaspeth, Nagpur",False,0
