Restaurant Name,Category,Rating,Cost for two,Area,Locality,Address,Veg,Long Distance Delivery
JIYANSH FOOD MANIA,"Chinese,Pizzas,Burgers,Snacks",NA,200,Sadar,Jaripatka,"SUGAR NAGAR MHADA COLONY QW NO C 26,H I G TATHAGAT CHOWK NARI ROAD NAGPUR,ZONE NO 9 ASINAGAR,MAHARASHTRA",False,1
New Thali King,"Thalis,North Indian,Biryani,Chinese",4.0,300,Trimurti Nagar,"New Thali King, Shelwalkar Garden Apartment","Plot no.169, S-1, Shivshakti Apartment, Lokaseva Society, Sujata Layout, Nagpur",False,1
Shree Balaji Family Restaurant,"Indian,South Indian,Chinese,Tandoor,Kebabs,Combo",3.7,300,Mhalgi Nagar,Ayodhya Nagar,"Shop 1234, Satyam Plaza, Hudkeshwar Road, Mahalgi Nagar Square, Ayodhya Nagar, Nagpur",False,1
Litti Chokha Express,"Indian,Italian,Desserts",NA,300,Ayodhya Nagar,Ayodhya Nagar,"94 vinkar vasahat, Zone no.5- Hanumannagar, Nagpur urban, Nagpur-1, Maharashtra - 440027",False,1
Dosa Central,"South Indian,Beverages",NA,300,Pratap Nagar,Pratap Nagar,"Shop no.1, G-14, Gurusai Apartment, Gayatri Nagar, Nagpur 440022",False,1
The Hakka Story,"Chinese,Combo",NA,200,Pratap Nagar,Pratap Nagar,"41, Jaitala Rd, Parsodi, Nagpur, Maharashtra 440022, India",False,1
SHIVAPRIYA IN,"Indian,North Indian,Chinese,Biryani,Snacks",NA,99,Pratap Nagar,Pratap Nagar,"KHAMLA ROAD JAIPRAKASH NAGAR  SQUARE,NEAR VVV PUBLIC  SCHOOL,MALVIYA  NAGAR.KHAMLA,NAGPUR, Zone no.1 - Laxminagar, Nagpur urban, Nagpur-1,  Maharashtra - 440025",False,1
TRIMURTI IN,"North Indian,Chinese,Biryani",NA,99,Wardha Road,Wardha Road,"KHAMLA ROAD JAIPRAKASH NAGAR  SQUARE,NEAR VVV PUBLIC  SCHOOL,MALVIYA  NAGAR.KHAMLA,NAGPUR, Zone no.1 - Laxminagar, Nagpur urban, Nagpur-1,  Maharashtra - 440025",False,1
SHIVA,"North Indian,Indian,Chinese,Sweets",NA,99,Wardha Road,Wardha Road,"KHAMLA ROAD JAIPRAKASH NAGAR  SQUARE,NEAR VVV PUBLIC  SCHOOL,MALVIYA  NAGAR.KHAMLA,NAGPUR, Zone no.1 - Laxminagar, Nagpur urban, Nagpur-1,  Maharashtra - 440025",False,1
PANCHAVAKTRA IN,"Indian,Biryani,Chinese,Snacks",NA,99,Wardha Road,Wardha Road,"KHAMLA ROAD JAIPRAKASH NAGAR  SQUARE,NEAR VVV PUBLIC  SCHOOL,MALVIYA  NAGAR.KHAMLA,NAGPUR, Zone no.1 - Laxminagar, Nagpur urban, Nagpur-1,  Maharashtra - 440025",False,1
MAHESHWARA INN,Indian,NA,99,Pratap Nagar,Pratap Nagar,"KHAMLA ROAD JAIPRAKASH NAGAR  SQUARE,NEAR VVV PUBLIC  SCHOOL,MALVIYA  NAGAR.KHAMLA,NAGPUR, Zone no.1 - Laxminagar, Nagpur urban, Nagpur-1,  Maharashtra - 440025",False,1
VISHVESHWARA,"North Indian,Chinese,Snacks",NA,99,Pratap Nagar,Pratap Nagar,"KHAMLA ROAD JAIPRAKASH NAGAR  SQUARE,NEAR VVV PUBLIC  SCHOOL,MALVIYA  NAGAR.KHAMLA,NAGPUR, Zone no.1 - Laxminagar, Nagpur urban, Nagpur-1,  Maharashtra - 440025",False,1
VISHNUVALLABHA IN,"North Indian,Chinese,Biryani,Snacks",NA,99,Wardha Road,Wardha Road,"KHAMLA ROAD JAIPRAKASH NAGAR  SQUARE,NEAR VVV PUBLIC  SCHOOL,MALVIYA  NAGAR.KHAMLA,NAGPUR, Zone no.1 - Laxminagar, Nagpur urban, Nagpur-1,  Maharashtra - 440025",False,1
VEERABHADRA INN,"Indian,Chinese,Biryani,Snacks",NA,99,Wardha Road,Wardha Road,"KHAMLA ROAD JAIPRAKASH NAGAR  SQUARE,NEAR VVV PUBLIC  SCHOOL,MALVIYA  NAGAR.KHAMLA,NAGPUR, Zone no.1 - Laxminagar, Nagpur urban, Nagpur-1,  Maharashtra - 440025",False,1
Ruhi's Kitchen,"Chinese,Snacks",NA,200,Ayodhya Nagar,Ayodhya Nagar,"	Plot 34, vinkar vasahat Manewada road, Zone no.5-Hanumannagar, Nagpur (Urban), Nagpur, Maharashtra, 440027",False,1
NITIN TIWARI,North Indian,NA,250,Ayodhya Nagar,Ayodhya Nagar,KHAMLA ROAD JAIPRAKASH NAGAR SQUARE NEAR  VVV PUBLIC SCHOOL MALVIYA NAGAR  KHAMLA NAGPUR ZONE NO 1 LAXMINAGAR NAGPUR URBAN 440025,False,1
SHANKARA IN,"North Indian,Chinese,Biryani,Snacks",NA,99,Pratap Nagar,Pratap Nagar,"KHAMLA ROAD JAIPRAKASH NAGAR  SQUARE,NEAR VVV PUBLIC  SCHOOL,MALVIYA  NAGAR.KHAMLA,NAGPUR, Zone no.1 - Laxminagar, Nagpur urban, Nagpur-1,  Maharashtra - 440025",False,1
PARAMESHWARA,"Indian,North Indian,Chinese,Snacks",NA,99,Pratap Nagar,Pratap Nagar,"KHAMLA ROAD JAIPRAKASH NAGAR  SQUARE,NEAR VVV PUBLIC  SCHOOL,MALVIYA  NAGAR.KHAMLA,NAGPUR, Zone no.1 - Laxminagar, Nagpur urban, Nagpur-1,  Maharashtra - 440025",False,1
SADASHIVA IN,"North Indian,Chinese,Biryani,Snacks",NA,99,Wardha Road,Wardha Road,"KHAMLA ROAD JAIPRAKASH NAGAR  SQUARE,NEAR VVV PUBLIC  SCHOOL,MALVIYA  NAGAR.KHAMLA,NAGPUR, Zone no.1 - Laxminagar, Nagpur urban, Nagpur-1,  Maharashtra - 440025",False,1
SHAMBHU INN,"North Indian,Indian,Chinese,Desserts",NA,99,Pratap Nagar,Pratap Nagar,"KHAMLA ROAD JAIPRAKASH NAGAR  SQUARE,NEAR VVV PUBLIC  SCHOOL,MALVIYA  NAGAR.KHAMLA,NAGPUR, Zone no.1 - Laxminagar, Nagpur urban, Nagpur-1,  Maharashtra - 440025",False,1
KAILASHVASI INN,"North Indian,Chinese,Snacks,Biryani",NA,99,Pratap Nagar,Pratap Nagar,"KHAMLA ROAD JAIPRAKASH NAGAR  SQUARE,NEAR VVV PUBLIC  SCHOOL,MALVIYA  NAGAR.KHAMLA,NAGPUR, Zone no.1 - Laxminagar, Nagpur urban, Nagpur-1,  Maharashtra - 440025",False,1
Shakechilee,Beverages,NA,150,Trimurti Nagar,"IT Park Road, Gayatri Nagar","G-14, Gayatri Nagar, Near IT Park, Nagpur",False,1
Anna Action South Indian Restaurant,"South Indian,North Indian",3.2,150,Manewada,Besa Road,72 jai gurudeo nagar behind happy foods manewada,True,1
The Breakfast Story,Beverages,4.5,600,Trimurti Nagar,"Hingna Road, Jaitala, Hingna T Point","Opposite Transmitting Station, Hingna Road, Jaitala, Hingna T Point, Nagpur",False,1
Only Thalis.com,"Indian,North Indian",NA,600,Nandanvan,Wathoda,"Life Space, Plot no.1, Sangharsh Nagar Chowk, Near Swami Narayan Tempel, Wathoda Ring Road, Nagpur-440008",True,1
Hotel Al Rahman - Yashodhara,"Biryani,North Indian,Mughlai,Chinese",4.0,300,Itwari,Pachpaoli,"Plot Number 54, Pravesh Nagar, Ittabhatta Chowk, Nagpur",False,1
CHAI VILLA PRATAPNAGAR,Beverages,NA,250,Pratap Nagar,Pratap Nagar,P NO 9 M DHANASHREE APARTMENT RING ROAD NAGPUR ZONE NO 3 NEHARUNAGAR NAGPUR URBAN NAGPUR 1 MAHARASHTRA,True,1
Cupcakes and More,"Bakery,Desserts",NA,300,Pratap Nagar,Pratap Nagar,"6, Ring Road, NIT Layout, Pratap Nagar, Nagpur",False,1
Lassi Central,"Beverages,Ice Cream",NA,300,Pratap Nagar,Pratap Nagar,"Shop no.1, G-14, Gurusai Apartment, Gayatri Nagar, Nagpur 440022",False,1
SMALL KITCHEN,North Indian,NA,390,Narendra Nagar,Wardha Road,"4, Guru Datta Colony, Madhuban Layout, Badil Kheda, Nagpur, Maharashtra 440015, India",False,1
